TAKE,1THR,2THR,4THR,,1THR,2THR,4THR
 ,,,,,,,
COLSIZE:,0.01,,,,,,
NAIVE,,,,,,,
TIME,,,,,,,
1,31.9446,16.1949,8.14061,,32.11668,16.2299,8.667456
2,32.3022,16.2491,8.17293,,,,
3,32.2473,16.2032,8.49724,,,,
4,32.1649,16.296,9.00727,,,,
5,31.9244,16.2063,9.51923,,,,
ERROR,,,,,,,
1,3.87411,3.87411,3.87411,,,,
2,3.84781,3.84781,3.84781,,,,
3,3.93482,3.93482,3.93482,,,,
4,3.91294,3.91294,3.91294,,,,
5,3.89888,3.89888,3.89888,,,,
THROUGHPUT,,,,,,,
1,1.05E+06,2.07E+06,4.12E+06,,,,
2,1.04E+06,2.07E+06,4.11E+06,,,,
3,1.04E+06,2.07E+06,3.95E+06,,,,
4,1.04E+06,2.06E+06,3.73E+06,,,,
5,1.05E+06,2.07E+06,3.52E+06,,,,
MERGED,,,,,,,
TIME,,,,,,,
1,28.1479,14.2002,7.16823,,28.43062,14.22346,7.427884
2,28.4727,14.2372,7.13701,,,,
3,28.5392,14.2763,7.28467,,,,
4,28.5293,14.2288,7.5677,,,,
5,28.464,14.1748,7.98181,,,,
ERROR,,,,,,,
1,3.87411,3.87411,3.87411,,,,
2,3.84781,3.84781,3.84781,,,,
3,3.93482,3.93482,3.93482,,,,
4,3.91294,3.91294,3.91294,,,,
5,3.89888,3.89888,3.89888,,,,
THROUGHPUT,,,,,,,
1,1.19E+06,2.36E+06,4.68E+06,,,,
2,1.18E+06,2.36E+06,4.70E+06,,,,
3,1.18E+06,2.35E+06,4.61E+06,,,,
4,1.18E+06,2.36E+06,4.43E+06,,,,
5,1.18E+06,2.37E+06,4.20E+06,,,,
COLSIZE:,0.001,,,,,,
NAIVE,,,,,,,
TIME,,,,,,,
1,33.4196,16.7895,10.5763,,33.40938,16.83434,11.3962
2,33.4532,16.8147,11.0124,,,,
3,33.4873,16.8248,11.2946,,,,
4,33.3311,16.9226,12.3434,,,,
5,33.3557,16.8201,11.7543,,,,
ERROR,,,,,,,
1,0.319854,0.319854,0.319854,,,,
2,0.321513,0.321513,0.321513,,,,
3,0.317071,0.317071,0.317071,,,,
4,0.324496,0.324496,0.324496,,,,
5,0.313771,0.313771,0.313771,,,,
THROUGHPUT,,,,,,,
1,1.00E+06,2.00E+06,3.17E+06,,,,
2,1.00E+06,2.00E+06,3.05E+06,,,,
3,1.00E+06,1.99E+06,2.97E+06,,,,
4,1.01E+06,1.98E+06,2.72E+06,,,,
5,1.01E+06,1.99E+06,2.85E+06,,,,
MERGED,,,,,,,
TIME,,,,,,,
1,30.0088,14.8993,8.92646,,30.09096,14.9026,9.494112
2,30.0332,14.8661,9.23719,,,,
3,30.1834,14.9704,9.47843,,,,
4,30.0468,14.8382,9.87456,,,,
5,30.1826,14.939,9.95392,,,,
ERROR,,,,,,,
1,0.319854,0.319854,0.319854,,,,
2,0.321513,0.321513,0.321513,,,,
3,0.317071,0.317071,0.317071,,,,
4,0.324496,0.324496,0.324496,,,,
5,0.313771,0.313771,0.313771,,,,
THROUGHPUT,,,,,,,
1,1.12E+06,2.25E+06,3.76E+06,,,,
2,1.12E+06,2.26E+06,3.63E+06,,,,
3,1.11E+06,2.24E+06,3.54E+06,,,,
4,1.12E+06,2.26E+06,3.40E+06,,,,
5,1.11E+06,2.25E+06,3.37E+06,,,,
COLSIZE:,0.0001,,,,,,
NAIVE,,,,,,,
TIME,,,,,,,
1,38.1462,25.4623,18.6694,,38.20186,25.56262,18.95822
2,38.7502,25.8543,19.3909,,,,
3,38.1891,25.662,19.2051,,,,
4,38.1527,25.5755,18.7897,,,,
5,37.7711,25.259,18.736,,,,
ERROR,,,,,,,
1,0.0205185,0.0205185,0.0205185,,,,
2,0.0209255,0.0209255,0.0209255,,,,
3,0.0211523,0.0211523,0.0211523,,,,
4,0.0217368,0.0217368,0.0217368,,,,
5,0.0211535,0.0211535,0.0211535,,,,
THROUGHPUT,,,,,,,
1,879628,1.32E+06,1.80E+06,,,,
2,865917,1.30E+06,1.73E+06,,,,
3,878639,1.31E+06,1.75E+06,,,,
4,879478,1.31E+06,1.79E+06,,,,
5,888362,1.33E+06,1.79E+06,,,,
MERGED,,,,,,,
TIME,,,,,,,
1,35.3135,23.8306,17.334,,35.27114,23.8052,17.41102
2,35.158,23.7184,17.6047,,,,
3,35.5229,23.9208,17.5576,,,,
4,35.3191,23.9372,17.2077,,,,
5,35.0422,23.619,17.3511,,,,
ERROR,,,,,,,
1,0.0205185,0.0205185,0.0205185,,,,
2,0.0209255,0.0209255,0.0209255,,,,
3,0.0211523,0.0211523,0.0211523,,,,
4,0.0217368,0.0217368,0.0217368,,,,
5,0.0211535,0.0211535,0.0211535,,,,
THROUGHPUT,,,,,,,
1,950187,1.41E+06,1.94E+06,,,,
2,954390,1.41E+06,1.91E+06,,,,
3,944587,1.40E+06,1.91E+06,,,,
4,950038,1.40E+06,1.95E+06,,,,
5,957545,1.42E+06,1.93E+06,,,,
COLSIZE:,0.00001,,,,,,
NAIVE,,,,,,,
TIME,,,,,,,
1,60.7051,32.993,21.4055,,60.34496,32.8147,21.28652
2,61.0283,33.1917,21.4733,,,,
3,59.6494,32.4593,21.0205,,,,
4,60.9992,33.1514,21.3981,,,,
5,59.3428,32.2781,21.1352,,,,
ERROR,,,,,,,
1,0.000931754,0.000931754,0.000931754,,,,
2,0.000772831,0.000772831,0.000772831,,,,
3,0.000860553,0.000860553,0.000860553,,,,
4,0.000846879,0.000846879,0.000846879,,,,
5,0.000763536,0.000763536,0.000763536,,,,
THROUGHPUT,,,,,,,
1,552745,1.02E+06,1.57E+06,,,,
2,549818,1.01E+06,1.56E+06,,,,
3,562527,1.03E+06,1.60E+06,,,,
4,550079,1.01E+06,1.57E+06,,,,
5,565434,1.04E+06,1.59E+06,,,,
MERGED,,,,,,,
TIME,,,,,,,
1,56.9954,30.8379,19.9234,,57.02462,30.84438,20.0017
2,57.2895,31.0236,20.0107,,,,
3,56.918,30.8018,19.9802,,,,
4,57.2934,30.9609,20.1068,,,,
5,56.6268,30.5977,19.9874,,,,
ERROR,,,,,,,
1,0.000931754,0.000931754,0.000931754,,,,
2,0.000772831,0.000772831,0.000772831,,,,
3,0.000860553,0.000860553,0.000860553,,,,
4,0.000846879,0.000846879,0.000846879,,,,
5,0.000763536,0.000763536,0.000763536,,,,
THROUGHPUT,,,,,,,
1,588722,1.09E+06,1.68E+06,,,,
2,585700,1.08E+06,1.68E+06,,,,
3,589522,1.09E+06,1.68E+06,,,,
4,585659,1.08E+06,1.67E+06,,,,
5,592554,1.10E+06,1.68E+06,,,,
