,Real,4 Thread,8 Thread
0,1096116,1210463,1210361
1,584757,700760,700731
2,408154,531551,531539
3,315192,418978,418763
4,255710,369323,369188
5,217714,332651,332634
6,190833,308326,308220
7,169437,277268,277195
8,151382,252804,252802
9,137449,260439,260438
10,126077,227559,227558
11,117366,230069,229988
12,109118,212451,212453
13,101414,207056,207004
14,95444,205429,205378
15,90017,220305,220264
16,86048,200448,200447
17,81491,194200,194199
18,76386,197196,197162
19,74066,186021,186024
20,69974,177564,177531
21,68340,183676,183674
22,64286,173352,173349
23,62504,169726,169698
24,60226,179406,179385
25,58539,178840,178801
26,56548,159888,159887
27,53940,178180,178178
28,52092,158493,158468
29,50991,164615,164592
30,49621,151251,151232
31,48053,150954,150953
32,46845,173256,173236
33,45543,158584,158582
34,44513,159415,159402
35,43753,154326,154325
36,42342,153833,153832
37,41298,143202,143186
38,40176,143626,143628
39,39282,159553,159551
40,39053,152494,152460
41,38400,147117,147118
42,36677,153920,153905
43,36139,142729,142700
44,35567,153742,153741
45,34610,152821,152798
46,34061,147163,147160
47,33639,157922,157923
48,33509,146954,146931
49,32193,144598,144599
50,31751,135557,135550
51,31252,143539,143537
52,30658,148729,148713
53,30268,146123,146119
54,29842,141479,141479
55,29249,144919,144916
56,28723,131938,131938
57,28170,134409,134398
58,27991,137915,137889
59,27356,144382,144360
60,27021,139133,139100
61,26635,146331,146303
62,26263,138981,138981
63,25739,145104,145101
64,25312,147434,147404
65,25136,131473,131460
66,24951,122919,122923
67,24709,125340,125329
68,23888,134005,133987
69,23590,133205,133205
70,23443,139400,139400
71,23271,134427,134415
72,22919,129779,129779
73,22632,134974,134973
74,22551,130468,130469
75,22177,139038,139019
76,21915,127452,127451
77,21688,128942,128941
78,21193,131481,131457
79,21032,136565,136564
80,20900,128673,128671
81,20783,130421,130421
82,20660,131227,131225
83,20475,126776,126764
84,20058,127919,127920
85,19755,137732,137722
86,19501,142054,142053
87,19394,125955,125931
88,19243,134770,134749
89,19010,121015,121002
90,19003,125966,125965
91,18795,130640,130637
92,18714,147348,147331
93,18174,121241,121226
94,18130,122557,122540
95,18117,119880,119853
96,17858,142725,142721
97,17777,134691,134690
98,17714,123899,123887
99,17217,136883,136878
